Descricao,Valor
MANUTENCAO/ ADAPTACAO DE OPM AUDITIVA,"0,00"
MANUTENCAO/CONSERTO DE APARELHO ORTODONTICO/ORTOPEDICO,"34,00"
MAPEAMENTO DE RETINA,"24,24"
MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS,"33,91"
MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA,"25,43"
MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA,"62,50"
MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA DUPLA,"5.225,25"
MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA UNICA,"4.324,34"
MARCAPASSO MULTI-SITIO,"15.720,16"
MARSUPIALIZACAO DE ABSCESSO / CISTO,"863,53"
MARSUPIALIZACAO DE CISTOS E PSEUDOCISTOS,"15,02"
MARSUPIALIZACAO DE GLANDULA DE BARTOLIN,"139,96"
MASSAGEM DE PROSTATA (POR SESSAO),"1,52"
MASTECTOMIA RADICAL C/ LINFADENECTOMIA,"783,51"
MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA,"2.462,85"
MASTECTOMIA SIMPLES,"462,80"
MASTECTOMIA SIMPLES BILATERAL SOB PROCESSO TRANSEXUALIZADOR,"809,89"
MASTECTOMIA SIMPLES EM ONCOLOGIA,"2.045,07"
MASTOIDECTOMIA RADICAL,"757,13"
MASTOIDECTOMIA SUBTOTAL,"483,55"
"MATERIAIS ELASTICOS PARA MODELAGEM DE COTOS, CONTROLE CICATRICIAL OU CONTROLE DE EDEMA DE MEMB","10,70"
MATRICIAMENTO DE EQUIPES DA ATENCAO BASICA,"0,00"
"MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENCAO DA URGENCIA E EMERGENCIA, E DOS SERVICOS HOSPITA","0,00"
MAXILECTOMIA PARCIAL,"420,94"
MAXILECTOMIA PARCIAL EM ONCOLOGIA,"3.812,42"
MAXILECTOMIA TOTAL EM ONCOLOGIA,"4.956,14"
MEATOTOMIA ENDOSCOPICA,"34,10"
MEATOTOMIA SIMPLES,"32,68"
MEDIASTINOTOMIA EXPLORADORA PARA-ESTERNAL / POR VIA ANTERIOR,"1.201,79"
MEDIASTINOTOMIA EXTRAPLEURAL POR VIA POSTERIOR,"1.201,79"
MEDIASTINOTOMIA P/ DRENAGEM,"1.253,51"
MEDICAO DE ALTURA,"0,00"
MEDICAO DE PESO,"0,00"
MEDIDA DE OFUSCAMENTO E CONTRASTE,"3,37"
MEMANTINA 10 MG (POR COMPRIMIDO),"0,00"
MESA DE ATIVIDADES PARA CADEIRA DE RODAS (TABUA MESA),"150,00"
MESALAZINA 1 G + DILUENTE 100 ML (ENEMA) - POR DOSE,"0,00"
MESALAZINA 1000 MG (POR SUPOSITORIO),"0,00"
MESALAZINA 250 MG (POR SUPOSITORIO),"0,00"
MESALAZINA 3 G + DILUENTE 100 ML (ENEMA) - POR DOSE,"0,00"
MESALAZINA 400 MG (POR COMPRIMIDO),"0,00"
MESALAZINA 500 MG (POR COMPRIMIDO),"0,00"
MESALAZINA 500 MG (POR SUPOSITORIO),"0,00"
MESALAZINA 800 MG - POR COMPRIMIDO,"0,00"
METADONA 10 MG (POR COMPRIMIDO),"0,00"
METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML),"0,00"
METADONA 5 MG (POR COMPRIMIDO),"0,00"
METASTASECTOMIA HEPATICA EM ONCOLOGIA,"1.700,36"
METASTASECTOMIA PULMONAR UNI OU BILATERAL (QUALQUER METODO),"1.260,27"
METILPREDNISOLONA 500 MG INJENTAVEL (POR AMPOLA),"20,96"
METILPREDNISOLONA 500 MG INJETAVEL (POR AMPOLA),"0,00"
METILPREDNISOLONA 500MG INJETAVEL P/TRANSPLANTE(POR FRASCO AMPOLA),"20,96"
"METOTREXATO 2,5 MG (POR COMPRIMIDO)","0,00"
METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML),"0,00"
MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO),"0,00"
MICOFENOLATO DE MOFETILA 500MG P/ TRANSPLANTE (POR COMPRIMIDO),"3,90"
MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO),"0,00"
MICOFENOLATO DE SODIO 180MG P/TRANSPLANTE (POR COMPRIMIDO),"3,90"
MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO),"0,00"
MICOFENOLATO DE SODIO 360MG P/ TRANSPLANTE (POR COMPRIMIDO),"3,90"
MICRO CATETER,"1.650,00"
MICRO CATETER FLUXO DEPENDENTE,"1.301,15"
MICRO CATETER P/ BALAO,"1.419,41"
MICRO GUIA,"830,00"
MICRO-AGLUTINACAO P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE),"0,00"
MICROBALAO DE REMODELAGEM,"2.000,00"
MICROCIRURGIA CEREBRAL ENDOSCOPICA,"3.169,61"
MICROCIRURGIA COM CORDOTOMIA / MIELOTOMIA A CEU ABERTO,"850,16"
MICROCIRURGIA COM RIZOTOMIA A CEU ABERTO,"1.578,66"
MICROCIRURGIA DA SIRINGOMIELIA,"2.246,48"
MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORACAO E NEUROLISE,"800,70"
MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA,"1.521,84"
MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR,"2.605,25"
MICROCIRURGIA DE TUMOR MEDULAR,"2.644,92"
MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR,"3.143,88"
MICROCIRURGIA OTOLOGICA,"376,75"
MICROCIRURGIA OTOLOGICA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"487,61"
"MICROCIRURGIA P/ARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MENOR QUE 1,5 CM","3.159,63"
"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM","3.159,63"
"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL POSTERIOR MAIOR QUE 1,5 CM","3.645,71"
"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL POSTERIOR MENOR QUE 1,5 CM","3.645,71"
MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES,"1.101,76"
MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO,"5.123,87"
MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATORIO,"2.816,57"
MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA,"4.043,87"
MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL,"2.907,65"
MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL PROFUNDA,"3.042,05"
MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA,"5.794,07"
MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL COM MONITORAMENTO INTRAOPERATORIO,"5.095,15"
MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL SEM MONITORAMENTO INTRA-OPERATORIO,"2.924,57"
MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO,"3.636,09"
MICROCIRURGIA PARA TUMOR DE ORBITA,"2.664,13"
MICROCIRURGIA PARA TUMOR INTRACRANIANO,"3.159,63"
MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR),"3.824,25"
MICROCIRURGIA VASCULAR INTRACRANIANA (COM TECNICA COMPLEMENTAR),"3.457,55"
MICRONEUROLISE DE NERVO PERIFERICO,"785,04"
MICRONEURORRAFIA,"1.401,75"
MICROSCOPIA ESPECULAR DE CORNEA,"24,24"
MIECTOMIA SUPERSELETIVA,"1.666,56"
MIELOGRAFIA,"118,60"
MIELOGRAMA,"5,79"
MIGLUSTATE 100 MG (POR CAPSULA),"0,00"
MINI PLACA EM T OU L (INCLUI PARAFUSO),"102,00"
MINI-FIXADOR EXTERNO,"780,00"
MINI-PARAFUSO DE AUTO-COMPRESSAO,"154,38"
MIOMECTOMIA,"528,94"
MIOMECTOMIA VIDEOLAPAROSCOPICA,"437,46"
MIRINGOTOMIA (TIMPANOPLASTIA),"11,28"
MOBILIZACAO DE RETALHOS MUSCULARES / DO OMENTO,"1.317,86"
"MOBILIZACAO, COLETA E ACONDICIONAMENTO DE CELULAS TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO N","2.461,24"
MOLDAGEM / IMPLANTE EM MUCOSA (POR TRATAMENTO COMPLETO),"786,64"
MOLDAGEM / IMPLANTE EM PELE / MUCOSA (POR TRATAMENTO COMPLETO),"786,64"
MOLDAGEM DENTO-GENGIVAL COM FINALIDADE ORTODONTICA,"0,00"
MOLDAGEM DENTO-GENGIVAL P/ CONSTRUCAO DE PROTESE DENTARIA,"0,00"
MOLDE AURICULAR (REPOSICAO),"8,75"
MONITORAMENTO DE CIRCULACAO EXTRACORPOREA,"60,00"
MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS),"30,00"
MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL (M.A.P.A),"10,07"
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO – 1ª LINHA,"34,00"
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO I (ADJUVANTE),"34,10"
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO II (ADJUVANTE),"34,10"
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (ADJUVANTE),"34,10"
MORFINA DE LIBERACAO CONTROLADA 100 MG (POR CAPSULA),"0,00"
MORFINA DE LIBERACAO CONTROLADA 60 MG (POR CAPSULA),"0,00"
MORFINA 10 MG (POR COMPRIMIDO),"0,00"
MORFINA 10 MG/ML SOLUCAO ORAL (POR FRASCO DE 60 ML),"0,00"
MORFINA 30 MG (POR COMPRIMIDO),"0,00"
MORFINA DE LIBERACAO CONTROLADA 30 MG (POR CAPSULA),"0,00"
MULETA AXILAR REGULAVEL DE MADEIRA (PAR),"53,20"
MULETA AXILAR TUBULAR EM ALUMINIO REGULAVEL NA ALTURA (PAR),"79,95"
"MUROMONABE CD3 5 MG INJETAVEL (POR AMPOLA DE 0,5 ML)","703,13"
"MUROMONABE CD3 5 MG INJETAVEL P/TRANSPLANTE (POR FRASCO AMPOLA DE 0,5 ML)","703,13"
NAPROXENO 250 MG (POR COMPRIMIDO),"0,00"
NAPROXENO 500 MG (POR COMPRIMIDO),"0,00"
NARCOSE DE CRIANCA (POR PROCEDIMENTO),"22,00"
NARCOSE PARA BRAQUITERAPIA (POR PROCEDIMENTO),"22,00"
NATALIZUMABE 300MG (POR FRASCO-AMPOLA),"0,00"
NECROPSIA,"0,00"
NEFRECTOMIA PARCIAL,"841,74"
NEFRECTOMIA PARCIAL EM ONCOLOGIA,"2.279,28"
NEFRECTOMIA TOTAL,"853,65"
NEFRECTOMIA TOTAL EM ONCOLOGIA,"1.753,30"
NEFROLITOTOMIA,"818,24"
NEFROLITOTOMIA PERCUTANEA,"801,50"
NEFROPEXIA,"650,27"
NEFROPIELOSTOMIA,"727,86"
NEFRORRAFIA,"723,25"
NEFROSTOMIA (POR PUNCAO),"32,68"
NEFROSTOMIA C/ OU S/ DRENAGEM,"650,27"
NEFROSTOMIA PERCUTANEA,"87,78"
NEFROURETERECTOMIA TOTAL,"674,81"
NEFROURETERECTOMIA TOTAL EM ONCOLOGIA,"2.279,28"
NEFROURETERECTOMIA UNILATERAL P/ TRANSPLANTE,"2.123,60"
NEOSTOMIA DE EPIDIDIMO / CANAL DEFERENTE,"227,87"
NEUROLISE DO TRIGEMEO COM GLICEROL,"18,85"
NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS,"382,18"
NEURORRAFIA,"432,47"
NEUROTOMIA PERCUTANEA DE NERVOS PERIFERICOS POR AGENTES QUIMICOS,"18,85"
NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS,"1.856,81"
NEUROTOMIA SUPERSELETIVA PARA MOVIMENTOS ANORMAIS,"1.666,56"
NOTIFICACAO DE CAUSAS EXTERNAS E AGRAVOS RELACIONADOS AO TRABALHO,"2,38"
NUCLEOTRACTOMIA TRIGEMINAL E/OU ESPINAL,"1.988,31"
"NUSINERSENA 2,4MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML)","0,00"
NUTRICAO ENTERAL EM ADULTO,"30,00"
NUTRICAO ENTERAL EM NEONATOLOGIA,"18,00"
NUTRICAO ENTERAL EM PEDIATRIA,"18,00"
NUTRICAO PARENTERAL EM ADULTO,"60,00"
NUTRICAO PARENTERAL EM NEONATOLOGIA,"30,00"
NUTRICAO PARENTERAL EM PEDIATRIA,"45,00"
OCLUSAO DE PONTO LACRIMAL,"19,14"
OCLUSAO PERCUTANEA ENDOVASCULAR DE ARTERIA / VEIA,"1.065,36"
OCTREOTIDA LAR 10 MG INJETAVEL (POR FRASCO-AMPOLA),"2.409,26"
OCTREOTIDA LAR 30 MG INJETAVEL (POR FRASCO-AMPOLA),"0,00"
"OCTREOTIDA 0,1 MG/ML INJETAVEL (POR AMPOLA)","28,90"
OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA),"0,00"
OCULOS COM LENTE FILTRANTE PARA ALBINOS,"150,00"
OCULOS COM LENTES ASFERICAS POSITIVAS,"340,00"
"OCULOS COM LENTES CORRETIVAS IGUAIS / MAIORES QUE 0,5 DIOPTRIAS","28,00"
OCULOS COM LENTES ESFERO PRISMATICAS,"350,00"
ODONTOSECCAO / RADILECTOMIA / TUNELIZACAO,"19,18"
OFICINA DE MASSAGEM/ AUTO-MASSAGEM,"0,00"
OLANZAPINA 10 MG (POR COMPRIMIDO),"0,00"
OLANZAPINA 5 MG (POR COMPRIMIDO),"0,00"
OLFATOMETRIA,"1,37"
OOFORECTOMIA / OOFOROPLASTIA,"509,86"
OPERACAO DE BURCH,"457,67"
ORBITOTOMIA,"619,17"
ORDENHA MAMARIA,"0,00"
ORIENTACAO DE HIGIENE BUCAL,"0,00"
ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,"0,00"
ORQUIDOPEXIA BILATERAL,"385,32"
ORQUIDOPEXIA UNILATERAL,"360,07"
ORQUIECTOMIA SUBCAPSULAR BILATERAL,"433,62"
ORQUIECTOMIA UNI OU BILATERAL C/ ESVAZIAMENTO GANGLIONAR,"254,07"
ORQUIECTOMIA UNILATERAL,"32,68"
ORQUIECTOMIA UNILATERAL EM ONCOLOGIA,"852,49"
ORTESE / CINTA LSO TIPO PUTTI (BAIXA),"195,00"
ORTESE / CINTA TLSO TIPO PUTTI (ALTO),"159,60"
ORTESE / COLETE CTLSO TIPO MILWAUKEE,"910,00"
ORTESE / COLETE TIPO WILLIAMS,"319,20"
ORTESE / COLETE TLSO TIPO KNIGHT,"260,00"
ORTESE CRUROMALEOLAR INFANTIL EM POLIPROPILENO PARA IMOBILIZACAO DE JOELHO EM EXTENSAO ARTICULA,"209,70"
ORTESE CRUROMALEOLAR PARA LIMITACAO DOS MOVIMENTOS DO JOELHO,"130,00"
ORTESE CRUROPODALICA COM DISTRATOR PARA GENUVALGO / GENUVARO (INFANTIL E ADOLESCENTE),"250,80"
ORTESE DINAMICA PELVICO-CRURAL TIPO ATLANTA / TORONTO,"520,00"
ORTESE DINAMICA SUROPODALICA TIPO MOLA DE CODEVILLE (UNILATERAL),"119,70"
ORTESE ESTATICA IMOBILIZADORA AXILO-PALMAR TIPO AEROPLANO,"290,00"
ORTESE GENUPODALICO EM POLIPROPILENO TIPO SARMIENTO,"299,00"
ORTESE HCO TIPO PHILADELPHIA PARA IMOBILIZACAO DA REGIAO CERVICAL,"79,80"
ORTESE HCTO TIPO MINERVA IMOBILIZADORA CERVICAL COM APOIO TORACICO (COLAR).,"150,00"
ORTESE METALICA CRUROPODALICA (INFANTIL E ADOLESCENTE),"520,00"
ORTESE METALICA CRUROPODALICA ADULTO,"948,00"
ORTESE METALICA SUROPODALICA (INFANTIL),"139,70"
ORTESE PELVICO-PODALICA DE DESCARGA ISQUIATICA,"598,50"
ORTESE PELVICO-PODALICA METALICA COM OU SEM APOIO ISQUIATICO (INFANTIL E ADOLESCENTE),"600,00"
ORTESE PELVICO-PODALICA METALICA PARA ADULTO COM OU SEM APOIO ISQUIATICO,"1.197,00"
ORTESE RIGIDA PARA LUXACAO CONGENITA DO QUADRIL,"500,40"
ORTESE SUROPODALICA ARTICULADA EM POLIPROPILENO INFANTIL,"159,60"
ORTESE SUROPODALICA METALICA (ADULTO),"180,60"
ORTESE SUROPODALICA SEM ARTICULACAO EM POLIPROPILENO (ADULTO),"180,60"
ORTESE SUROPODALICA SEM ARTICULACAO EM POLIPROPILENO (INFANTIL),"130,00"
ORTESE SUROPODALICA UNILATERAL ARTICULADA EM POLIPROPILENO (ADULTO),"200,00"
ORTESE SUSPENSORIO DE PAVLIK,"66,50"
ORTESE TIPO SARMIENTO PARA UMERO,"159,60"
ORTESE TLSO / COLETE TIPO BOSTON,"598,50"
ORTESE TLSO / TIPO COLETE EM METAL TIPO JEWETT,"372,40"
ORTESE TLSO CORRETIVA TORACO-LOMBAR EM POLIPROPILENO,"319,20"
ORTESE TLSO TIPO COLETE / JAQUETA DE RISSER,"780,00"
ORTESE TORACICA COLETE DINAMICA DE COMPRESSAO TORACICA,"239,40"
OSCILOMETRIA DE IMPULSO,"1,31"
OSTECTOMIA DA CLAVICULA OU DA ESCAPULA,"297,12"
OSTECTOMIA DA PELVE,"784,95"
OSTECTOMIA DE OSSOS DA MAO E/OU DO PE,"258,61"
OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE,"649,74"
OSTEOPLASTIA DO MENTO COM OU SEM IMPLANTE ALOPLASTICO,"371,13"
OSTEOPLASTIA FRONTO - ORBITAL,"624,41"
OSTEOSSINTESE DA FRATURA COMPLEXA DA MANDIBULA,"589,13"
OSTEOSSINTESE DA FRATURA DO OSSO ZIGOMATICO,"490,88"
OSTEOSSINTESE DE FRATURA BILATERAL DO CONDILO MANDIBULAR,"504,76"
OSTEOSSINTESE DE FRATURA COMPLEXA DA MAXILA,"627,33"
OSTEOSSINTESE DE FRATURA DO COMPLEXO NASO-ORBITO-ETMOIDAL,"476,79"
OSTEOSSINTESE DE FRATURA DO COMPLEXO ORBITO-ZIGOMATICO-MAXILAR,"490,88"
OSTEOSSINTESE DE FRATURA SIMPLES DE MANDIBULA,"503,19"
OSTEOSSINTESE DE FRATURA UNILATERAL DO CONDILO MANDIBULAR,"461,67"
OSTEOTOMIA CRANIO-FACIAL,"2.344,25"
OSTEOTOMIA CRANIOFACIAL COMPLEXA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"2.813,10"
OSTEOTOMIA DA CLAVICULA OU DA ESCAPULA,"284,27"
OSTEOTOMIA DA MANDIBULA,"659,03"
OSTEOTOMIA DA MANDIBULA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"371,13"
OSTEOTOMIA DA MAXILA,"659,03"
OSTEOTOMIA DA PELVE,"835,12"
OSTEOTOMIA DAS FRATURAS ALVEOLO-DENTARIAS,"52,00"
OSTEOTOMIA DE MAXILA EM PACIENTES COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"1.875,40"
OSTEOTOMIA DE OSSOS DA MAO E/OU DO PE,"327,25"
OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE,"645,68"
OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS,"0,00"
OXIGENOTERAPIA POR DIA,"0,00"
OXIMETRIA DE PULSO (TESTE DO CORACAOZINHO),"0,00"
PALATOPLASTIA PRIMARIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"1.425,84"
PALATOPLASTIA SECUNDARIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL,"1.425,84"
PALMILHAS CONFECCIONADAS SOB MEDIDA (PAR),"130,20"
PALMILHAS PARA PES NEUROPATICOS CONFECCIONADAS SOB MEDIDA PARA ADULTOS OU CRIANCAS (PAR),"170,30"
PALMILHAS PARA SUSTENTACAO DOS ARCOS PLANTARES ATE O NUMERO 33 (PAR),"43,89"
PALMILHAS PARA SUSTENTACAO DOS ARCOS PLANTARES NUMEROS ACIMA DE 34 (PAR),"65,00"
PAMIDRONATO 30 MG INJETAVEL (POR FRASCO-AMPOLA),"0,00"
PAMIDRONATO 60 MG INJETAVEL (POR FRASCO-AMPOLA),"0,00"
PANCREATECTOMIA PARCIAL,"774,95"
PANCREATECTOMIA PARCIAL EM ONCOLOGIA,"3.872,57"
PANCREATECTOMIA VIDEOLAPAROSCOPICA,"684,13"
PANCREATINA 10.000 UI (POR CAPSULA),"0,98"
PANCREATINA 25000 UI (POR CAPSULA),"1,93"
PANCREATO-DUODENECTOMIA,"1.603,46"
PANCREATO-ENTEROSTOMIA,"1.577,60"
PANCREATOTOMIA P/ DRENAGEM,"774,96"
PAN-FOTOCOAGULACAO DE RETINA A LASER,"300,60"
PAQUIMETRIA ULTRASSONICA,"14,81"
PARACENTESE ABDOMINAL,"12,27"
PARACENTESE DE CAMARA ANTERIOR,"82,28"
PARACENTESE DO TIMPANO,"14,66"
PARAFUSO ASSOCIAVEL A PLACA TORACO-LOMBO-SACRA TIPO PEDICULAR MONO-AXIAL.,"410,24"
PARAFUSO BLOQUEADO,"21,60"
"PARAFUSO CANULADO 3,5 MM","116,02"
"PARAFUSO CANULADO 4,5 MM","102,92"
"PARAFUSO CANULADO 7,0 MM","90,29"
PARAFUSO CANULADO DE TITANIO AUTO-ROSCANTE PARA FIXACAO DE ODONTOIDE,"672,75"
PARAFUSO CANULADO MINI,"257,29"
"PARAFUSO CORTICAL 1,5 MM","18,06"
"PARAFUSO CORTICAL 2,0 MM","15,34"
"PARAFUSO CORTICAL 2,7 MM","16,94"
"PARAFUSO CORTICAL 3,5 MM","15,34"
"PARAFUSO CORTICAL 4,5 MM","18,06"
PARAFUSO DE INTERFERENCIA DE TITANIO,"486,29"
PARAFUSO DE TITANIO ASSOCIAVEL A PLACA CERVICAL,"175,78"
"PARAFUSO ESPONJOSO 4,0 MM","27,71"
"PARAFUSO ESPONJOSO 6,5 MM","27,71"
PARAFUSO MALEOLAR,"21,89"
PARAFUSO METALICO DE INTERFERENCIA,"154,38"
PARAFUSO P/ COMPONENTE ACETABULAR,"109,67"
PARAFUSOS ASSOCIAVEIS A PLACAS TORACO-LOMBO-SACRAIS DE TITANIO,"209,30"
PARATIREOIDECTOMIA,"581,91"
PARATIREOIDECTOMIA TOTAL EM ONCOLOGIA,"2.234,19"
"PARICALCITOL 5,0 MCG/ML SOLUCAO INJETAVEL (AMPOLA COM 1 ML)","0,00"
PAROTIDECTOMIA PARCIAL EM ONCOLOGIA,"1.496,31"
PAROTIDECTOMIA PARCIAL OU SUBTOTAL,"450,83"
PAROTIDECTOMIA TOTAL AMPLIADA EM ONCOLOGIA,"3.787,07"
PAROTIDECTOMIA TOTAL EM ONCOLOGIA,"1.528,25"
PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR FALECIDO,"0,00"
PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR VIVO,"0,00"
PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE SIMULTANEO DE PANCREAS E RIM,"0,00"
PARTICULAS EMBOLIZANTES (FRASCO),"300,00"
PARTO CESARIANO,"545,73"
PARTO CESARIANO C/ LAQUEADURA TUBARIA,"545,73"
PARTO CESARIANO EM GESTACAO DE ALTO RISCO,"890,94"
PARTO NORMAL,"443,40"
PARTO NORMAL EM CENTRO DE PARTO NORMAL (CPN),"443,40"
PARTO NORMAL EM GESTACAO DE ALTO RISCO,"617,19"
PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL),"28,00"
PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS),"11,06"
PATCH INORGANICO (20 CM2),"88,81"
PATCH INORGANICO (50 CM2),"98,00"
PATCH INORGANICO (ATE 260 CM2),"0,94"
PATCH ORGANICO (20 CM2),"90,10"
PATCH ORGANICO (50 CM2),"113,05"
PATCH ORGANICO (ATE 260 CM2),"1,07"
PATELECTOMIA TOTAL OU PARCIAL,"344,06"
PELVIGLOSSOMANDIBULECTOMIA EM ONCOLOGIA,"7.384,78"
PENICILAMINA 250 MG (POR CAPSULA),"1,90"
PEQUISA DE PNEUMOCYSTI CARINI,"4,33"
PERFIL DE PRESSAO URETRAL,"8,82"
PERICARDIECTOMIA,"1.875,12"
PERICARDIECTOMIA PARCIAL,"1.875,12"
PERICARDIOCENTESE,"242,97"
PERITONIOSTOMIA C/ TELA INORGANICA,"817,53"
PERSUFLACAO P/ DESOBSTRUCAO TUBARIA (POR TRATAMENTO COMPLETO),"11,26"
PERSUFLACAO TUBARIA (DIAGNOSTICA),"1,69"
PESQUISA / DOSAGEM DE AMINOACIDOS (POR CROMATOGRAFIA),"3,70"
PESQUISA DE ALCAPTONA NA URINA,"2,04"
PESQUISA DE AMINOACIDOS NA URINA,"3,70"
PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA,"10,00"
PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA,"10,00"
PESQUISA DE ANTICORPOS ANTIADENOVIRUS,"9,25"
PESQUISA DE ANTICORPOS ANTIAMEBAS,"10,00"
PESQUISA DE ANTICORPOS ANTIASPERGILLUS,"9,25"
PESQUISA DE ANTICORPOS ANTIBRUCELAS,"3,70"
PESQUISA DE ANTICORPOS ANTICISTICERCO,"5,83"
PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA),"10,00"
PESQUISA DE ANTICORPOS ANTICORPOS ANTI-HTLV-1 (WESTERN-BLOT),"85,00"
PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL,"17,16"
PESQUISA DE ANTICORPOS ANTI-DNA,"8,67"
PESQUISA DE ANTICORPOS ANTIEQUINOCOCOS,"9,25"
PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70),"10,00"
PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES,"9,70"
PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA ),"9,70"
PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO),"2,83"
PESQUISA DE ANTICORPOS ANTIFIGADO,"10,00"
PESQUISA DE ANTICORPOS ANTIGLOMERULO,"10,00"
PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI,"17,16"
PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT),"85,00"
PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA),"10,00"
PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2,"18,55"
PESQUISA DE ANTICORPOS ANTIILHOTA DE LANGERHANS,"10,00"
PESQUISA DE ANTICORPOS ANTIINSULINA,"17,16"
PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS,"4,10"
PESQUISA DE ANTICORPOS ANTILISTERIA,"5,50"
